id_client;sexe;age;enfant_conduite_accompagne;nombre_enfants;revenus;valeur_residence_prin;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;formule;tarif_devis
1000192;F;11;Non;Oui;10k - 25k;100k - 200k;Private;Minivan;1;1.0;Highly Urban/ Urban;28/03/2022 10:41;dev_premium;300 - 400
1000193;F;5;Non;Non;75k - 100k;200k - 300k;Private;Sports Car;6;1.0;Highly Urban/ Urban;26/02/2022 21:26;dev_premium;400 - 500
1000194;M;62;Non;Non;50k - 75k;0 - 100k;Private;Van;0;1.0;Highly Urban/ Urban;17/01/2022 08:39;dev_express;200 - 300
1000195;F;69;Non;Non;50k - 75k;100k - 200k;Private;Pickup;4;11.0;Highly Urban/ Urban;16/04/2022 00:13;dev_integral;200 - 300
1000196;F;51;Non;Non;25k - 50k;Non renseigné;Commercial;Pickup;1;5.0;z_Highly Rural/ Rural;12/01/2022 03:39;dev_integral;300 - 400
1000197;M;61;Non;Non;25k - 50k;0 - 100k;Private;Minivan;7;1.0;Highly Urban/ Urban;23/03/2022 01:48;dev_express;200 - 300
1000198;F;36;Oui;Oui;50k - 75k;100k - 200k;Private;Minivan;0;6.0;Highly Urban/ Urban;17/04/2022 15:27;dev_integral;200 - 300
1000199;M;42;Non;Oui;50k - 75k;200k - 300k;Private;Van;1;8.0;Highly Urban/ Urban;05/05/2022 04:13;dev_integral;300 - 400
1000200;M;18;Non;Non;50k - 75k;0 - 100k;Commercial;z_SUV;0;1.0;Highly Urban/ Urban;28/02/2022 07:30;dev_integral;300 - 400
1000201;M;66;Non;Oui;10k - 25k;0 - 100k;Commercial;Pickup;2;12.0;Highly Urban/ Urban;12/02/2022 17:39;dev_integral;300 - 400
1000202;F;23;Non;Oui;50k - 75k;200k - 300k;Private;Minivan;0;1.0;Highly Urban/ Urban;07/01/2022 19:37;dev_integral;300 - 400
1000203;M;52;Non;Non;100k - 150k;0 - 100k;Private;Minivan;6;11.0;Highly Urban/ Urban;07/01/2022 13:02;dev_integral;300 - 400
1000204;M;10;Non;Non;200k +;0 - 100k;Commercial;Panel Truck;4;17.0;Highly Urban/ Urban;12/01/2022 00:08;dev_express;200 - 300
1000205;M;61;Non;Non;50k - 75k;0 - 100k;Private;Minivan;1;12.0;Highly Urban/ Urban;24/05/2022 14:39;dev_premium;400 - 500
1000206;M;24;Non;Oui;Non renseigné;400k - 500k;Commercial;Panel Truck;0;14.0;Highly Urban/ Urban;25/03/2022 12:49;dev_integral;200 - 300
1000207;F;71;Oui;Oui;10k - 25k;100k - 200k;Private;Minivan;0;5.0;Highly Urban/ Urban;02/01/2022 00:52;dev_integral;300 - 400
1000208;M;40;Non;Oui;50k - 75k;200k - 300k;Commercial;Minivan;1;12.0;z_Highly Rural/ Rural;01/03/2022 04:35;dev_integral;300 - 400
1000209;F;57;Non;Oui;100k - 150k;300k - 400k;Private;Minivan;5;11.0;Highly Urban/ Urban;28/01/2022 11:20;dev_express;200 - 300
1000210;M;91;Non;Non;10k - 25k;100k - 200k;Private;z_SUV;0;9.0;Highly Urban/ Urban;29/04/2022 08:01;dev_premium;300 - 400
1000211;M;53;Non;Non;50k - 75k;100k - 200k;Commercial;z_SUV;0;9.0;Highly Urban/ Urban;20/01/2022 00:10;dev_integral;200 - 300
1000212;M;55;Oui;Oui;100k - 150k;200k - 300k;Commercial;Minivan;0;12.0;Highly Urban/ Urban;06/05/2022 14:07;dev_express;200 - 300
1000213;M;69;Non;Oui;0 - 10k;100k - 200k;Private;z_SUV;0;8.0;Highly Urban/ Urban;14/03/2022 17:19;dev_express;200 - 300
1000214;F;65;Non;Oui;25k - 50k;100k - 200k;Commercial;Minivan;2;6.0;Highly Urban/ Urban;20/03/2022 10:44;dev_express;200 - 300
1000215;F;56;Non;Non;75k - 100k;200k - 300k;Private;z_SUV;0;14.0;Highly Urban/ Urban;18/01/2022 01:43;dev_premium;300 - 400
1000216;F;51;Oui;Oui;10k - 25k;100k - 200k;Private;Minivan;0;1.0;z_Highly Rural/ Rural;23/01/2022 11:52;dev_premium;400 - 500
1000217;F;78;Oui;Oui;25k - 50k;100k - 200k;Private;Sports Car;0;11.0;z_Highly Rural/ Rural;07/01/2022 23:42;dev_express;200 - 300
1000218;F;61;Oui;Oui;10k - 25k;100k - 200k;Private;Pickup;0;7.0;Highly Urban/ Urban;02/01/2022 23:14;dev_integral;300 - 400
1000219;M;8;Oui;Oui;50k - 75k;0 - 100k;Commercial;Sports Car;2;1.0;Highly Urban/ Urban;23/05/2022 03:25;dev_integral;300 - 400
1000220;M;3;Non;Non;75k - 100k;200k - 300k;Private;Minivan;0;15.0;Highly Urban/ Urban;29/05/2022 09:22;dev_integral;300 - 400
1000221;M;70;Non;Non;0 - 10k;100k - 200k;Private;z_SUV;0;13.0;z_Highly Rural/ Rural;09/02/2022 09:54;dev_integral;300 - 400
1000222;M;57;Non;Oui;75k - 100k;300k - 400k;Private;Minivan;2;11.0;Highly Urban/ Urban;17/02/2022 21:50;dev_express;200 - 300
1000223;M;70;Non;Non;100k - 150k;0 - 100k;Private;z_SUV;0;12.0;Highly Urban/ Urban;06/05/2022 08:05;dev_integral;300 - 400
1000224;F;48;Non;Non;50k - 75k;200k - 300k;Private;Pickup;0;11.0;Highly Urban/ Urban;25/01/2022 10:57;dev_integral;300 - 400
1000225;F;29;Non;Oui;25k - 50k;100k - 200k;Private;Van;4;9.0;Highly Urban/ Urban;01/01/2022 10:42;dev_integral;300 - 400
1000226;M;33;Non;Non;75k - 100k;0 - 100k;Private;Minivan;0;8.0;Highly Urban/ Urban;02/04/2022 23:05;dev_integral;200 - 300
1000227;M;69;Non;Non;100k - 150k;200k - 300k;Private;Minivan;2;1.0;Highly Urban/ Urban;14/04/2022 03:03;dev_integral;200 - 300
1000228;M;16;Non;Non;0 - 10k;0 - 100k;Commercial;Minivan;7;1.0;z_Highly Rural/ Rural;07/03/2022 01:04;dev_express;200 - 300
1000229;M;21;Non;Non;50k - 75k;200k - 300k;Commercial;Sports Car;1;;Highly Urban/ Urban;04/04/2022 21:37;dev_premium;500 - 600
1000230;M;59;Non;Non;100k - 150k;300k - 400k;Private;Minivan;1;13.0;Highly Urban/ Urban;20/04/2022 04:58;dev_express;200 - 300
1000231;F;69;Non;Oui;0 - 10k;0 - 100k;Private;Sports Car;0;13.0;Highly Urban/ Urban;25/02/2022 11:43;dev_express;200 - 300
1000232;F;71;Non;Oui;25k - 50k;0 - 100k;Private;Minivan;8;9.0;Highly Urban/ Urban;28/05/2022 00:32;dev_vip;600 - 700
1000233;M;8;Non;Oui;0 - 10k;0 - 100k;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;18/03/2022 05:26;dev_express;200 - 300
1000234;M;55;Non;Non;25k - 50k;100k - 200k;Private;Minivan;3;5.0;Highly Urban/ Urban;25/02/2022 19:06;dev_express;200 - 300
1000235;F;4;Oui;Oui;25k - 50k;100k - 200k;Private;z_SUV;0;9.0;Highly Urban/ Urban;08/04/2022 14:50;dev_integral;200 - 300
1000236;F;91;Non;Oui;75k - 100k;0 - 100k;Private;Minivan;0;16.0;Highly Urban/ Urban;01/05/2022 13:47;dev_integral;300 - 400
1000237;M;12;Non;Non;25k - 50k;200k - 300k;Commercial;Van;2;15.0;Highly Urban/ Urban;27/03/2022 09:47;dev_integral;300 - 400
1000238;M;36;Oui;Oui;100k - 150k;300k - 400k;Commercial;Van;4;9.0;Highly Urban/ Urban;11/05/2022 02:14;dev_express;200 - 300
1000239;M;52;Non;Oui;25k - 50k;100k - 200k;Commercial;z_SUV;4;1.0;Highly Urban/ Urban;31/05/2022 03:31;dev_express;200 - 300
1000240;F;46;Non;Oui;Non renseigné;0 - 100k;Private;Sports Car;6;7.0;Highly Urban/ Urban;24/04/2022 23:44;dev_premium;500 - 600
1000241;M;51;Non;Non;75k - 100k;200k - 300k;Commercial;Sports Car;2;9.0;Highly Urban/ Urban;06/03/2022 04:31;dev_integral;300 - 400
1000242;F;52;Non;Non;100k - 150k;300k - 400k;Private;Minivan;0;9.0;Highly Urban/ Urban;18/02/2022 17:27;dev_integral;200 - 300
1000243;F;6;Non;Oui;100k - 150k;400k - 500k;Private;Pickup;0;12.0;Highly Urban/ Urban;05/01/2022 05:06;dev_integral;300 - 400
1000244;M;82;Non;Non;25k - 50k;0 - 100k;Private;z_SUV;5;15.0;Highly Urban/ Urban;19/02/2022 05:07;dev_premium;500 - 600
1000245;M;87;Non;Oui;0 - 10k;0 - 100k;Commercial;z_SUV;7;;Highly Urban/ Urban;21/05/2022 17:06;dev_express;200 - 300
1000246;M;51;Non;Non;25k - 50k;100k - 200k;Private;z_SUV;2;11.0;Highly Urban/ Urban;13/05/2022 05:41;dev_express;200 - 300
1000247;M;61;Non;Non;75k - 100k;200k - 300k;Private;z_SUV;0;7.0;Highly Urban/ Urban;20/02/2022 18:23;dev_integral;300 - 400
1000248;M;41;Oui;Oui;10k - 25k;0 - 100k;Private;z_SUV;1;10.0;z_Highly Rural/ Rural;16/04/2022 08:28;dev_integral;200 - 300
1000249;F;72;Non;Non;75k - 100k;200k - 300k;Private;z_SUV;0;19.0;Highly Urban/ Urban;03/03/2022 11:37;dev_integral;200 - 300
1000250;F;75;Non;Non;75k - 100k;200k - 300k;Private;Minivan;0;15.0;z_Highly Rural/ Rural;26/02/2022 20:58;dev_express;200 - 300
1000251;M;77;Non;Non;25k - 50k;200k - 300k;Private;Minivan;0;10.0;Highly Urban/ Urban;19/02/2022 07:35;dev_integral;300 - 400
1000252;F;64;Non;Non;50k - 75k;0 - 100k;Private;z_SUV;2;5.0;Highly Urban/ Urban;05/03/2022 12:14;dev_express;200 - 300
1000253;F;60;Non;Oui;Non renseigné;300k - 400k;Private;Minivan;3;1.0;Highly Urban/ Urban;11/01/2022 23:53;dev_express;200 - 300
1000254;M;31;Non;Non;25k - 50k;100k - 200k;Private;Minivan;1;4.0;Highly Urban/ Urban;25/03/2022 21:08;dev_express;200 - 300
1000255;F;75;Non;Oui;25k - 50k;0 - 100k;Commercial;Pickup;0;9.0;z_Highly Rural/ Rural;22/02/2022 18:20;dev_integral;200 - 300
1000256;M;81;Oui;Oui;100k - 150k;400k - 500k;Commercial;Van;0;12.0;Highly Urban/ Urban;14/01/2022 04:38;dev_integral;300 - 400
1000257;F;68;Non;Oui;10k - 25k;100k - 200k;Private;Sports Car;5;4.0;Highly Urban/ Urban;08/04/2022 21:31;dev_express;200 - 300
1000258;M;72;Non;Non;75k - 100k;200k - 300k;Private;Pickup;0;15.0;Highly Urban/ Urban;17/04/2022 13:11;dev_integral;300 - 400
1000259;M;83;Non;Non;100k - 150k;300k - 400k;Commercial;Minivan;0;9.0;z_Highly Rural/ Rural;14/05/2022 20:36;dev_integral;300 - 400
1000260;M;64;Non;Non;75k - 100k;200k - 300k;Commercial;z_SUV;6;1.0;Highly Urban/ Urban;02/02/2022 00:42;dev_integral;200 - 300
1000261;M;68;Oui;Oui;75k - 100k;200k - 300k;Private;Sports Car;0;8.0;Highly Urban/ Urban;21/05/2022 22:35;dev_integral;200 - 300
1000262;M;32;Non;Non;100k - 150k;300k - 400k;Private;z_SUV;2;12.0;Highly Urban/ Urban;09/03/2022 16:06;dev_premium;400 - 500
1000263;F;48;Oui;Oui;150k - 200k;300k - 400k;Private;Minivan;1;12.0;z_Highly Rural/ Rural;27/02/2022 09:10;dev_integral;300 - 400
1000264;F;71;Non;Oui;25k - 50k;100k - 200k;Private;Minivan;0;14.0;Highly Urban/ Urban;03/04/2022 03:15;dev_integral;300 - 400
1000265;F;54;Non;Non;0 - 10k;0 - 100k;Private;Sports Car;1;8.0;z_Highly Rural/ Rural;02/04/2022 11:55;dev_express;200 - 300
1000266;F;51;Oui;Oui;0 - 10k;0 - 100k;Private;Minivan;1;1.0;Highly Urban/ Urban;08/04/2022 07:47;dev_express;200 - 300
1000267;F;91;Non;Oui;50k - 75k;200k - 300k;Private;Sports Car;0;17.0;Highly Urban/ Urban;31/05/2022 15:46;dev_integral;200 - 300
1000268;F;23;Non;Oui;25k - 50k;0 - 100k;Commercial;Pickup;0;4.0;Highly Urban/ Urban;16/05/2022 17:40;dev_integral;200 - 300
1000269;F;55;Non;Non;100k - 150k;300k - 400k;Commercial;Panel Truck;1;;Highly Urban/ Urban;22/04/2022 13:14;dev_integral;200 - 300
1000270;F;72;Non;Non;25k - 50k;100k - 200k;Commercial;z_SUV;2;11.0;Highly Urban/ Urban;30/05/2022 08:43;dev_integral;300 - 400
1000271;M;38;Non;Oui;75k - 100k;200k - 300k;Private;Pickup;1;11.0;Highly Urban/ Urban;01/02/2022 00:03;dev_express;200 - 300
1000272;F;28;Non;Non;0 - 10k;100k - 200k;Commercial;Minivan;2;1.0;Highly Urban/ Urban;31/05/2022 16:23;dev_integral;300 - 400
1000273;M;56;Non;Non;75k - 100k;200k - 300k;Commercial;Minivan;0;11.0;z_Highly Rural/ Rural;16/02/2022 07:07;dev_integral;300 - 400
1000274;F;50;Non;Oui;50k - 75k;100k - 200k;Private;Minivan;0;20.0;Highly Urban/ Urban;21/05/2022 22:01;dev_integral;300 - 400
1000275;M;53;Non;Non;0 - 10k;0 - 100k;Private;z_SUV;2;1.0;Highly Urban/ Urban;26/04/2022 15:07;dev_express;200 - 300
1000276;M;75;Non;Non;100k - 150k;300k - 400k;Commercial;Pickup;6;;Highly Urban/ Urban;14/01/2022 19:18;dev_integral;200 - 300
